unix,open,high,low,close,volume
1599264000,10460.2,10567.9,9850,10167.19,123688676.3
1599177600,10160,10646.75,9902.43,10456.32,182100577.7
1599091200,11395.1,11477.35,9987.86,10160,188516069.1
1599004800,11919.53,11956.45,11155.32,11398.44,148818863.3
1598918400,11658.48,12065.82,11515,11923.96,94924527.63
1598832000,11713.11,11780,11573.39,11655,52846311.98
1598745600,11471.71,11715.69,11458.62,11708.97,27266175.17
1598659200,11538.74,11592,11423.64,11471.71,24043970
1598572800,11332.26,11555.61,11277.95,11536.58,69755901.71
1598486400,11462.91,11602.92,11122.72,11330,88330444.04
1598400000,11328.5,11549.8,11250.14,11469.3,49009238.38
1598313600,11750.4,11772.22,11112.75,11328.88,80137027.61
1598227200,11653.7,11832.55,11588.61,11761.8,33956999.76
1598140800,11678.17,11715.09,11524.7,11644.65,19014210.34
1598054400,11527.81,11694.02,11367,11667.7,39686770.57
1597968000,11857.18,11887.67,11485.49,11531.74,73701422.91
1597881600,11762.18,11894.12,11675.29,11859.37,49711608.13
1597795200,11950,12022.18,11574.4,11757.55,110538620.3
1597708800,12301.27,12408.53,11823,11958.1,105448772
1597622400,11916.83,12473,11771.44,12298.38,120257600.5
1597536000,11858.6,11938.55,11685.97,11914.02,29715591.3
1597449600,11771.97,11986.93,11667.7,11852.2,47209397.76
1597363200,11797.55,11862,11652.01,11779.77,65104391.58
1597276800,11567.74,11806.61,11270.91,11793.26,80660605.76
1597190400,11386.5,11625,11150,11565.35,65559363.88
1597104000,11896.37,11945.05,11130,11392.64,119288779.7
1597017600,11684.6,12080,11510,11895.12,91612979.59
1596931200,11767.93,11808.28,11527.92,11683.03,30954061.53
1596844800,11601.75,11817.95,11527,11776.9,46916212.26
1596758400,11770.26,11920,11219,11600.85,121847924.1
1596672000,11759.9,11913.5,11575.57,11770.08,116005842.1
1596585600,11193.48,11795.86,11094.35,11755.24,88338176.75
1596499200,11236.39,11420,11000.79,11192.42,61805780.2
1596412800,11074.92,11480,10933.26,11236.39,78482484.91
1596326400,11808.21,12100,10559.59,11071.66,140127479.7
1596240000,11357.98,11883.36,11228,11817.49,132306343.4
1596153600,11110.84,11457.95,10973.8,11356.74,118308923.7
1596067200,11105.01,11189,10832,11112.12,116197750.3
1595980800,10931.91,11358.47,10855.81,11111.17,138365878.2
1595894400,11049.4,11263.85,10583.48,10939.27,186649913.9
1595808000,9941.25,11417.11,9933.77,11046.19,306386318.6
1595721600,9712.45,10200,9657,9944.65,90398999.71
1595635200,9549.34,9751.82,9532.79,9710.98,49190482.63
1595548800,9614.85,9650.55,9474.35,9547.91,76506496.65
1595462400,9537.23,9690,9453.38,9617.2,100152980.8
1595376000,9395.98,9573,9280.8,9539.51,52665370.26
1595289600,9161.77,9442.89,9152.23,9391.25,52210413.11
1595203200,9213.15,9224.73,9128.21,9162.43,28081083.21
1595116800,9175.7,9243.36,9106.3,9211.99,14604681.29
1595030400,9150.51,9214.63,9122.72,9177.43,12465568.44
1594944000,9134.44,9184.28,9073.53,9156.5,32903856.47
1594857600,9191,9217.5,9026.51,9132.87,50613031.17
1594771200,9256.33,9276.98,9153.38,9190.07,35014611.6
1594684800,9234.19,9282.08,9095,9251.59,41446296.16
1594598400,9304.94,9351.17,9190.49,9233.1,35779861.59
1594512000,9234.07,9347.76,9153.48,9306.17,18958098
1594425600,9291,9304.95,9180,9238.3,13424777.54
1594339200,9234.91,9318.92,9053.14,9283.53,36301636.06
1594252800,9441.76,9448.5,9157.11,9234.9,42253809.72
1594166400,9257.21,9479.57,9228.91,9437.16,59223337.95
1594080000,9346.9,9385.81,9201.78,9257.16,43534809.53
1593993600,9077.18,9376.34,9060.5,9348.22,50119105.93
1593907200,9142.16,9147.37,8905,9076.82,27846574.65
