,date,open,high,low,close,volume,market cap,unix
895,Jan-18-2018,1027.729769,1115.5046,1002.070123,1044.495862,4555829351,1.01382E+11,1516204800
896,Jan-19-2018,1048.856592,1224.232733,1048.856592,1177.581669,3631820003,1.10459E+11,1516291200
897,Jan-20-2018,1179.064123,1186.758185,1028.288425,1053.632457,3091664746,1.04252E+11,1516377600
898,Jan-21-2018,1062.146247,1100.212375,940.6760909,1012.746704,3063333975,1.00531E+11,1516464000
899,Jan-22-2018,1011.51369,1031.321096,935.2758296,986.8450805,3543011939,95233060480,1516550400
900,Jan-23-2018,989.8851715,989.8851715,989.8851715,989.8851715,3326794201,96248293449,1516636800
901,Jan-24-2018,1070.61438,1118.490679,1043.225244,1061.081841,3847122723,1.03843E+11,1516723200
902,Jan-25-2018,1058.097005,1088.156843,997.2305239,1056.904941,3402505649,1.0124E+11,1516809600
903,Jan-26-2018,1056.807483,1123.816751,1044.363341,1113.461166,2797595644,1.04991E+11,1516896000
904,Jan-27-2018,1116.992818,1259.771011,1114.00739,1251.41421,3747930737,1.16715E+11,1516982400
905,Jan-28-2018,1251.045267,1266.07115,1174.972988,1186.785054,3630833297,1.16782E+11,1517068800
906,Jan-29-2018,1188.048324,1188.787794,1057.108174,1067.648559,3152933508,1.10763E+11,1517155200
907,Jan-30-2018,1074.636447,1128.34985,1034.864135,1120.579015,3847540905,1.06897E+11,1517241600
908,Jan-31-2018,1124.948161,1167.939336,976.3359354,1038.560899,3681526925,1.06914E+11,1517328000
909,Feb-01-2018,1033.546255,1033.546255,747.4807641,913.6793501,5258026365,88928277937,1517414400
910,Feb-02-2018,914.7191595,994.6758374,843.6228107,964.6045976,4326753451,91452319073,1517500800
911,Feb-03-2018,967.4971229,968.1560377,795.198647,835.6573021,2433762149,87731348716,1517587200
912,Feb-04-2018,830.2723264,856.617893,640.0364806,696.360327,3122606733,75264341895,1517673600
913,Feb-05-2018,696.9475066,796.6628872,568.3473601,794.1543898,4729924074,66986424587,1517760000
914,Feb-06-2018,789.0515745,854.6725864,722.7021023,758.3228417,4732684494,77657828485,1517846400
915,Feb-07-2018,754.5994669,849.9338053,754.5994669,817.9295906,3370723213,79644459512,1517932800
916,Feb-08-2018,819.5478097,880.2117523,788.9204776,880.2117523,2565594131,81273050832,1518019200
917,Feb-09-2018,879.4469254,912.3396347,832.0169297,861.3435163,2498287794,85351075883,1518105600
918,Feb-10-2018,862.345976,862.345976,789.8746381,816.0665727,2406919223,80576773286,1518192000
919,Feb-11-2018,816.0073292,875.7033237,816.0073292,864.7920045,2118303402,83713190031,1518278400
920,Feb-12-2018,867.239642,868.7066443,829.0132275,846.1757538,1987373180,82835797033,1518364800
921,Feb-13-2018,845.4571577,924.5274149,845.4571577,923.9081691,2140153716,85924350975,1518451200
922,Feb-14-2018,923.5140468,952.2220675,912.3639288,933.8695146,2726993634,91012960902,1518537600
923,Feb-15-2018,931.637909,950.6743487,918.142296,946.1174857,2507840314,91630920055,1518624000
924,Feb-16-2018,945.4483992,989.2159904,943.5091211,977.069945,2225170023,94470877043,1518710400
925,Feb-17-2018,978.3967664,986.6190944,921.3776484,927.8115174,2351145273,92454117478,1518796800
926,Feb-18-2018,925.7195843,961.0218136,925.7195843,950.7482285,2109844692,92065566742,1518883200
927,Feb-19-2018,950.9943248,977.2781239,900.6417594,900.6417594,2132206433,92052329063,1518969600
928,Feb-20-2018,900.8305988,917.7256326,837.3970232,855.0879925,2476908728,85456361489,1519056000
929,Feb-21-2018,855.7193544,880.3810723,804.3757088,815.0134398,2124210809,81475232615,1519142400
930,Feb-22-2018,812.8548592,890.6743765,797.7213565,870.4109443,2178718323,83279629173,1519228800
931,Feb-23-2018,869.8706765,884.0737957,825.2153695,845.9865377,2011050379,82618460443,1519315200
932,Feb-24-2018,846.5668205,859.1505201,826.6519109,851.6325706,1627694188,82163030036,1519401600
933,Feb-25-2018,854.1196712,882.9952858,845.9084096,871.9850037,1697654539,84141113744,1519488000
934,Feb-26-2018,872.8739879,899.0613649,870.7263937,881.0071706,1961845331,86178995048,1519574400
935,Feb-27-2018,880.6274373,891.6400184,858.3695422,859.1262256,1894807188,85572795018,1519660800
936,Feb-28-2018,860.1726144,882.5688236,856.9717366,870.8585953,1765028231,84795388699,1519747200
937,Mar-01-2018,869.5041302,875.2082969,854.9120216,859.8553736,1811613437,84988503470,1519833600
938,Mar-02-2018,860.2012392,868.2546465,856.4416632,858.3013982,1632331462,84220113162,1519920000
