,long_term_period,bb_period,multiple,atr_period,win_rate,equity,risk/reward
7341,100.0,8.0,1.3000000000000003,16.0,0.5942028985507246,1.6667666867865982,1.5438491230253817
7342,100.0,8.0,1.3000000000000003,18.0,0.5942028985507246,1.6699409672302123,1.5310810210943953
7343,100.0,8.0,1.3000000000000003,20.0,0.5942028985507246,1.6718396475426494,1.5256891764110068
7425,100.0,9.0,1.3000000000000003,4.0,0.5689655172413793,1.5588648708226218,1.6595747771764042
7426,100.0,9.0,1.3000000000000003,6.0,0.5573770491803278,1.575951085294087,1.6913626073859847
7427,100.0,9.0,1.3000000000000003,8.0,0.5666666666666667,1.6113895215187344,1.6930686356808982
7428,100.0,9.0,1.3000000000000003,10.0,0.5666666666666667,1.5673369896927565,1.6617064130108723
7429,100.0,9.0,1.3000000000000003,12.0,0.559322033898305,1.5872842480013103,1.6791166037055585
7430,100.0,9.0,1.3000000000000003,14.0,0.559322033898305,1.5875357915531787,1.65935715139155
7431,100.0,9.0,1.3000000000000003,16.0,0.576271186440678,1.607952225454174,1.6270555545797025
7432,100.0,9.0,1.3000000000000003,18.0,0.576271186440678,1.6108476984845979,1.618300689945107
7433,100.0,9.0,1.3000000000000003,20.0,0.559322033898305,1.5837882159748804,1.6394154777943313
7508,100.0,10.0,1.2000000000000002,8.0,0.5789473684210527,1.515955125793496,1.5828697154522275
7512,100.0,10.0,1.2000000000000002,16.0,0.5892857142857143,1.5129872492167522,1.5085430671462623
7527,100.0,10.0,1.4000000000000004,10.0,0.5833333333333334,1.5245633265581346,1.7971184964337605
7607,100.0,11.0,1.3000000000000003,8.0,0.5714285714285714,1.5103783094321135,1.8549159376453723
7609,100.0,11.0,1.3000000000000003,12.0,0.5833333333333334,1.5234360740082735,1.7756570169780481
7610,100.0,11.0,1.3000000000000003,14.0,0.5957446808510638,1.5162279230264963,1.69910543113699
7611,100.0,11.0,1.3000000000000003,16.0,0.5957446808510638,1.510511290861753,1.687298963898044
7612,100.0,11.0,1.3000000000000003,18.0,0.5957446808510638,1.5133363063105387,1.6698720455170888
7613,100.0,11.0,1.3000000000000003,20.0,0.5869565217391305,1.5044139176916715,1.704839721712069
8397,100.0,20.0,1.1,4.0,0.5757575757575758,1.5227340582711362,2.0061263724104172
8399,100.0,20.0,1.1,8.0,0.5757575757575758,1.5007901929791367,2.1240127914184677
8400,100.0,20.0,1.1,10.0,0.5757575757575758,1.5056860154084322,2.165570892269738
8401,100.0,20.0,1.1,12.0,0.5588235294117647,1.5098679775562984,2.187508178486899
8402,100.0,20.0,1.1,14.0,0.5757575757575758,1.5065105339021714,2.057469060254979
8403,100.0,20.0,1.1,16.0,0.59375,1.5060200585402617,2.0231579096376855
8404,100.0,20.0,1.1,18.0,0.59375,1.503216047053816,2.0161686881838015
8587,110.0,6.0,1.4000000000000004,6.0,0.6447368421052632,1.7772325080553206,1.5213259500192575
8595,110.0,6.0,1.5000000000000004,4.0,0.6101694915254238,1.581063892627717,1.7207519547874766
8596,110.0,6.0,1.5000000000000004,6.0,0.5737704918032787,1.5561809371379933,1.8490730410490204
8597,110.0,6.0,1.5000000000000004,8.0,0.5901639344262295,1.5670939025399775,1.7137172523405382
8598,110.0,6.0,1.5000000000000004,10.0,0.5901639344262295,1.5682345088906446,1.6920967137280614
8599,110.0,6.0,1.5000000000000004,12.0,0.5901639344262295,1.5701042102493448,1.6835711292883364
8600,110.0,6.0,1.5000000000000004,14.0,0.6065573770491803,1.6088003010877439,1.6354124864055515
8601,110.0,6.0,1.5000000000000004,16.0,0.6166666666666667,1.63074990270739,1.6376089317115237
8602,110.0,6.0,1.5000000000000004,18.0,0.6166666666666667,1.6278309528422672,1.6448036055790485
8603,110.0,6.0,1.5000000000000004,20.0,0.6166666666666667,1.6308239646331717,1.65068190722246
8609,110.0,6.0,1.6000000000000005,14.0,0.5869565217391305,1.5349036017518054,2.0149614213140863
8610,110.0,6.0,1.6000000000000005,16.0,0.5869565217391305,1.523942994156009,2.0120582297602017
8611,110.0,6.0,1.6000000000000005,18.0,0.5869565217391305,1.5247404413883592,2.0116167934889293
8612,110.0,6.0,1.6000000000000005,20.0,0.5869565217391305,1.5262694020544347,2.0268889216384687
8659,110.0,7.0,1.3000000000000003,6.0,0.6049382716049383,1.7451947386298496,1.5241378703606046
8667,110.0,7.0,1.4000000000000004,4.0,0.609375,1.6223339792676243,1.6499279270300684
8668,110.0,7.0,1.4000000000000004,6.0,0.5671641791044776,1.5676003228470496,1.7505420307868294
8669,110.0,7.0,1.4000000000000004,8.0,0.6,1.6389198719452793,1.6467359124196996
8670,110.0,7.0,1.4000000000000004,10.0,0.6,1.6413054517044832,1.6394818743602149
8671,110.0,7.0,1.4000000000000004,12.0,0.59375,1.6317616899385805,1.6675485917671966
8672,110.0,7.0,1.4000000000000004,14.0,0.59375,1.6325189768959298,1.6212802603808794
8673,110.0,7.0,1.4000000000000004,16.0,0.59375,1.6235163322220612,1.6009711548212968
8674,110.0,7.0,1.4000000000000004,18.0,0.59375,1.6189977339321047,1.612191139116687
8675,110.0,7.0,1.4000000000000004,20.0,0.59375,1.6211014157879626,1.6189349654871354
8676,110.0,7.0,1.5000000000000004,4.0,0.5892857142857143,1.5418740561845636,1.7551609640538077
8677,110.0,7.0,1.5000000000000004,6.0,0.5517241379310345,1.523951777964998,1.8993086849183434
8678,110.0,7.0,1.5000000000000004,8.0,0.5789473684210527,1.5561513233297457,1.7877644403968367
8679,110.0,7.0,1.5000000000000004,10.0,0.5789473684210527,1.5577203993373603,1.7740878134742282
8680,110.0,7.0,1.5000000000000004,12.0,0.5714285714285714,1.5425175901250632,1.8115225665595782
8681,110.0,7.0,1.5000000000000004,14.0,0.5818181818181818,1.546404833417349,1.7297882761517802
8682,110.0,7.0,1.5000000000000004,16.0,0.5818181818181818,1.536364007192003,1.7076104991015626
8683,110.0,7.0,1.5000000000000004,18.0,0.5818181818181818,1.5318639124862474,1.7176621214858327
8684,110.0,7.0,1.5000000000000004,20.0,0.5818181818181818,1.5340934357778837,1.7251286274414015
8741,110.0,8.0,1.2000000000000002,8.0,0.5949367088607594,1.762626516858561,1.5178095152016498
8748,110.0,8.0,1.3000000000000003,4.0,0.5972222222222222,1.796504243818148,1.6044491663972236
8749,110.0,8.0,1.3000000000000003,6.0,0.5945945945945946,1.8387447146732268,1.6394792551010953
8750,110.0,8.0,1.3000000000000003,8.0,0.589041095890411,1.8310184314950049,1.6602199901520862
8751,110.0,8.0,1.3000000000000003,10.0,0.5972222222222222,1.8159185456783398,1.6112431449269762
8752,110.0,8.0,1.3000000000000003,12.0,0.5972222222222222,1.8340532039322655,1.6116041741069471
8753,110.0,8.0,1.3000000000000003,14.0,0.6056338028169014,1.833831413506749,1.5597112668505873
8754,110.0,8.0,1.3000000000000003,16.0,0.6056338028169014,1.8273918885715295,1.5659623324373715
8755,110.0,8.0,1.3000000000000003,18.0,0.6056338028169014,1.8290353657396028,1.556963918834263
8756,110.0,8.0,1.3000000000000003,20.0,0.6056338028169014,1.8305754569883983,1.5555314538490623
8759,110.0,8.0,1.4000000000000004,8.0,0.5517241379310345,1.51028078619145,1.722993265164248
8761,110.0,8.0,1.4000000000000004,12.0,0.5517241379310345,1.5053667064418221,1.724303200178413
8762,110.0,8.0,1.4000000000000004,14.0,0.5614035087719298,1.5079413945748996,1.655261426896738
8763,110.0,8.0,1.4000000000000004,16.0,0.5614035087719298,1.5026310053614327,1.6474666861989955
8764,110.0,8.0,1.4000000000000004,18.0,0.5614035087719298,1.509138219111089,1.6503191400656185
8765,110.0,8.0,1.4000000000000004,20.0,0.5614035087719298,1.5072289736858033,1.6586200856124476
8820,110.0,9.0,1.1,4.0,0.5694444444444444,1.5561158627833651,1.5174930429597784
8821,110.0,9.0,1.1,6.0,0.5675675675675675,1.578657823956261,1.5141980715320127
8822,110.0,9.0,1.1,8.0,0.5753424657534246,1.6139434747295316,1.522243342458358
8823,110.0,9.0,1.1,10.0,0.5753424657534246,1.610422516712637,1.5216271806690347
8824,110.0,9.0,1.1,12.0,0.5616438356164384,1.5861858074015454,1.5350869135915617
8829,110.0,9.0,1.2000000000000002,4.0,0.5538461538461539,1.531529922216183,1.5460463744013184
8831,110.0,9.0,1.2000000000000002,8.0,0.5606060606060606,1.5699953718460755,1.5320091309067303
8832,110.0,9.0,1.2000000000000002,10.0,0.5606060606060606,1.5562516787881095,1.5467147474379292
8838,110.0,9.0,1.3000000000000003,4.0,0.576271186440678,1.6574107775331075,1.6859061625474938
8839,110.0,9.0,1.3000000000000003,6.0,0.5645161290322581,1.6797760313781027,1.7223322076677692
8840,110.0,9.0,1.3000000000000003,8.0,0.5737704918032787,1.711927899524914,1.7311517720861656
8841,110.0,9.0,1.3000000000000003,10.0,0.5833333333333334,1.7023365985984384,1.699949845990346
8842,110.0,9.0,1.3000000000000003,12.0,0.5666666666666667,1.6868277346538278,1.7322986436270462
8843,110.0,9.0,1.3000000000000003,14.0,0.5666666666666667,1.6937321170956081,1.6955322364532701
8844,110.0,9.0,1.3000000000000003,16.0,0.5833333333333334,1.7138870879940262,1.6683242812376662
8845,110.0,9.0,1.3000000000000003,18.0,0.5833333333333334,1.7151981677816281,1.6654748563927633
8846,110.0,9.0,1.3000000000000003,20.0,0.5666666666666667,1.683754943036985,1.691513999381807
8849,110.0,9.0,1.4000000000000004,8.0,0.5535714285714286,1.5798127468329781,1.8465764343170028
8850,110.0,9.0,1.4000000000000004,10.0,0.5636363636363636,1.5734898311129872,1.8042699075933324
8852,110.0,9.0,1.4000000000000004,14.0,0.5555555555555556,1.558403450059563,1.7342706652780668
8853,110.0,9.0,1.4000000000000004,16.0,0.5740740740740741,1.5776032498532169,1.6964154851928719
8854,110.0,9.0,1.4000000000000004,18.0,0.5740740740740741,1.5815144043869027,1.698171690994969
8855,110.0,9.0,1.4000000000000004,20.0,0.5555555555555556,1.5550179552308299,1.7256342445836503
8902,110.0,10.0,1.0,6.0,0.5657894736842105,1.6336076496323146,1.5159242589138746
8903,110.0,10.0,1.0,8.0,0.5733333333333334,1.6734162039057627,1.5181225219292165
8905,110.0,10.0,1.0,12.0,0.5675675675675675,1.629227306932937,1.5047187595619118
8910,110.0,10.0,1.1,4.0,0.5625,1.5410668873101847,1.5789266940139939
8912,110.0,10.0,1.1,8.0,0.5692307692307692,1.5899568621998599,1.6071674561445186
8913,110.0,10.0,1.1,10.0,0.5692307692307692,1.588390590926372,1.6084813148416237
8914,110.0,10.0,1.1,12.0,0.5538461538461539,1.5529142338233233,1.611685341288493
8915,110.0,10.0,1.1,14.0,0.5538461538461539,1.563709572177023,1.5712765240955706
8916,110.0,10.0,1.1,16.0,0.5692307692307692,1.5796127553676502,1.53481832273642
8917,110.0,10.0,1.1,18.0,0.5692307692307692,1.57532132910035,1.5279899761360958
8918,110.0,10.0,1.1,20.0,0.5538461538461539,1.5525432356595035,1.5467710330650895
8919,110.0,10.0,1.2000000000000002,4.0,0.5892857142857143,1.5706827983023486,1.5709855230645586
8920,110.0,10.0,1.2000000000000002,6.0,0.559322033898305,1.546075290612295,1.6543535898082053
8921,110.0,10.0,1.2000000000000002,8.0,0.5862068965517241,1.6087467719504749,1.6234472678267815
8922,110.0,10.0,1.2000000000000002,10.0,0.5964912280701754,1.6112713568474437,1.5796457891954498
8923,110.0,10.0,1.2000000000000002,12.0,0.5789473684210527,1.5892531274742692,1.607888110495321
8924,110.0,10.0,1.2000000000000002,14.0,0.5789473684210527,1.5944907774962451,1.5790425455515378
8925,110.0,10.0,1.2000000000000002,16.0,0.5964912280701754,1.6108709214485823,1.5525682675562222
8926,110.0,10.0,1.2000000000000002,18.0,0.5964912280701754,1.6127580632753107,1.5474692186288244
8927,110.0,10.0,1.2000000000000002,20.0,0.5789473684210527,1.5912699271867576,1.5755237828313124
8928,110.0,10.0,1.3000000000000003,4.0,0.5740740740740741,1.5408385874873276,1.6635181864278639
8929,110.0,10.0,1.3000000000000003,6.0,0.5535714285714286,1.5166415592249372,1.7180798725553263
8930,110.0,10.0,1.3000000000000003,8.0,0.5818181818181818,1.5774679336692772,1.6789864472684775
8931,110.0,10.0,1.3000000000000003,10.0,0.5925925925925926,1.5788944973450343,1.631580039230393
8932,110.0,10.0,1.3000000000000003,12.0,0.5740740740740741,1.5572252276040166,1.6621369622300342
8933,110.0,10.0,1.3000000000000003,14.0,0.5740740740740741,1.5631156620212512,1.6295285812146967
8934,110.0,10.0,1.3000000000000003,16.0,0.5925925925925926,1.57959406343931,1.6013806274224751
8935,110.0,10.0,1.3000000000000003,18.0,0.5925925925925926,1.5816513485877326,1.5986067083620976
8936,110.0,10.0,1.3000000000000003,20.0,0.5740740740740741,1.5601489143441216,1.6347495396259668
8937,110.0,10.0,1.4000000000000004,4.0,0.5714285714285714,1.5485429440291802,1.8088020103549518
8938,110.0,10.0,1.4000000000000004,6.0,0.56,1.543405776507004,1.8888411364833637
8939,110.0,10.0,1.4000000000000004,8.0,0.58,1.6040132327638958,1.8814999244667563
8940,110.0,10.0,1.4000000000000004,10.0,0.5918367346938775,1.600604453014738,1.8362444422997566
