https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1618012800000.0,2021-04-10 00:00:00,XRP/USD,1.0183,1.39805,1.005125,1.373525,21042564.778544255,28902488.78745
1617926400000.0,2021-04-09 00:00:00,XRP/USD,1.058,1.08535,0.981,1.0183,20058147.49155455,20425211.59065
1617840000000.0,2021-04-08 00:00:00,XRP/USD,0.917275,1.0728,0.901,1.058,14560310.295604913,15404808.29275
1617753600000.0,2021-04-07 00:00:00,XRP/USD,1.0955,1.107475,0.850025,0.917275,40326425.96451446,36990422.3766
1617667200000.0,2021-04-06 00:00:00,XRP/USD,0.915325,1.11885,0.802975,1.0955,40085426.66323597,43913584.909575
1617580800000.0,2021-04-05 00:00:00,XRP/USD,0.6346,0.9384,0.61955,0.915325,30497473.684429027,27915100.1002
1617494400000.0,2021-04-04 00:00:00,XRP/USD,0.5784,0.63615,0.5571,0.6346,11209256.584541442,7113394.22855
1617408000000.0,2021-04-03 00:00:00,XRP/USD,0.60755,0.6417,0.5728,0.5784,17078769.951720264,9878360.540075
1617321600000.0,2021-04-02 00:00:00,XRP/USD,0.571275,0.6104,0.56575,0.60755,13060160.885194633,7934700.7458
1617235200000.0,2021-04-01 00:00:00,XRP/USD,0.5703,0.59575,0.548775,0.571275,11081038.036978688,6330320.004575
1617148800000.0,2021-03-31 00:00:00,XRP/USD,0.562475,0.57735,0.519125,0.5703,7295035.577152376,4160358.78965
1617062400000.0,2021-03-30 00:00:00,XRP/USD,0.566075,0.5875,0.5591,0.562475,8092687.255033558,4551934.263775
1616976000000.0,2021-03-29 00:00:00,XRP/USD,0.5455,0.5709,0.54305,0.566075,4065851.428079318,2301576.84715
1616889600000.0,2021-03-28 00:00:00,XRP/USD,0.547725,0.56,0.538725,0.5455,4497060.929193401,2453146.736875
1616803200000.0,2021-03-27 00:00:00,XRP/USD,0.563775,0.5743,0.5333,0.547725,3557202.1128303437,1948368.52725
1616716800000.0,2021-03-26 00:00:00,XRP/USD,0.510925,0.5755,0.510775,0.563775,10537178.09804443,5940597.582225
1616630400000.0,2021-03-25 00:00:00,XRP/USD,0.480425,0.52435,0.4559,0.510925,6451715.836326271,3296342.913675
1616544000000.0,2021-03-24 00:00:00,XRP/USD,0.549,0.56305,0.446775,0.480425,10925526.267731695,5248895.957175
1616457600000.0,2021-03-23 00:00:00,XRP/USD,0.5444,0.5967,0.5383,0.549,26125769.13032787,14343047.25255
1616371200000.0,2021-03-22 00:00:00,XRP/USD,0.51695,0.6004,0.5015,0.5444,39509906.554555476,21509193.1283
1616284800000.0,2021-03-21 00:00:00,XRP/USD,0.52615,0.54585,0.495175,0.51695,7077668.358883838,3658800.658125
1616198400000.0,2021-03-20 00:00:00,XRP/USD,0.467075,0.5499,0.4649,0.52615,3024112.018055687,1591136.5383
